lago,fecha,satelite,nubosidad_oficial_pct,nubosidad_catalogo_pct,cobertura_bbox_pct,pixeles_agua_validos,cianobacteria_promedio,ndvi_promedio,ndwi_promedio,item_principal
Amatitlán,2025-01-28,Sentinel-2B,0.06,0.064987,99.99871564346265,27596,14.354903221130373,-0.3472743034362793,0.5860641002655029,S2B_15PYR_20250128_0_L2A
Amatitlán,2025-04-15,Sentinel-2A,0.09,0.085006,100.0,11583,10.343310356140137,-0.1107945293188095,0.3352636396884918,S2A_15PYR_20250415_0_L2A
Amatitlán,2025-04-28,Sentinel-2B,1.03,1.033736,100.0,22780,13.520740509033203,-0.0851119309663772,0.3329960703849792,S2B_15PYR_20250428_0_L2A
Amatitlán,2025-11-24,Sentinel-2B,0.5,0.499355,100.0,29854,13.18118667602539,-0.35083669424057,0.513117790222168,S2B_15PYR_20251124_0_L2A
Amatitlán,2026-01-08,Sentinel-2C,0.77,0.767957,100.0,30925,23.067110061645508,-0.0866223499178886,0.3648126125335693,S2C_15PYR_20260108_1_L2A
Amatitlán,2026-02-02,Sentinel-2B,0.39,0.392716,100.0,2611,6.490450382232666,-0.2053345888853073,0.3559905886650085,S2B_15PYS_20260202_0_L2A
Amatitlán,2026-02-07,Sentinel-2C,0.02,0.01704,100.0,9064,7.836552143096924,-0.2200832664966583,0.4329152703285217,S2C_15PYR_20260207_0_L2A
Amatitlán,2026-03-29,Sentinel-2C,0.01,0.014516,100.0,22171,17.15011215209961,-0.0628268420696258,0.3198932707309723,S2C_15PYR_20260329_0_L2A
Amatitlán,2026-04-13,Sentinel-2B,0.09,0.087289,100.0,34280,16.41834831237793,-0.0290208496153354,0.2865197956562042,S2B_15PYR_20260413_0_L2A
Amatitlán,2026-04-28,Sentinel-2C,4.96,,0.0,0,,,,SIN_ESCENA_EN_CATALOGO
Amatitlán,2026-06-19,Sentinel-2A,13.0,13.000624,99.99967891086564,31029,67.48597717285156,-0.1207027360796928,0.5070450305938721,S2A_15PYS_20260619_0_L2A
Atitlán,2025-01-18,Sentinel-2B,0.02,0.021865,99.99370143996686,297519,9.933526992797852,0.2945796549320221,0.8278345465660095,S2B_15PXS_20250118_0_L2A
Atitlán,2025-04-13,Sentinel-2C,0.54,,0.0,0,,,,SIN_ESCENA_EN_CATALOGO
Atitlán,2025-05-13,Sentinel-2C,4.37,4.371482,100.0,172273,3.615726947784424,-0.0805216655135154,0.449676901102066,S2C_15PXS_20250513_0_L2A
Atitlán,2025-07-17,Sentinel-2A,3.57,3.565849,31.091598466797887,16832,4.48542070388794,-0.0153280552476644,0.4867345988750458,S2A_15PXS_20250717_1_L2A
Atitlán,2025-11-21,Sentinel-2A,3.15,3.150875,99.99386719154668,261954,4.476836204528809,-0.0830957144498825,0.7326822876930237,S2A_15PXS_20251121_0_L2A
Atitlán,2025-12-29,Sentinel-2C,3.17,3.172113,99.99569045892468,273113,3.4607152938842773,0.0307933874428272,0.5441136360168457,S2C_15PYS_20251229_0_L2A
Atitlán,2026-02-12,Sentinel-2B,0.04,0.044695,99.99262405469804,264051,4.008839130401611,-0.05186378210783,0.638562798500061,S2B_15PXS_20260212_0_L2A
Atitlán,2026-03-24,Sentinel-2B,3.17,3.174446,99.9998342484202,295848,3.6760427951812735,-0.1332281976938247,0.4664130806922912,S2B_15PXS_20260324_0_L2A
Atitlán,2026-04-13,Sentinel-2B,0.01,0.011676,100.0,46480,3.5084149837493896,-0.0744020268321037,0.4426937103271484,S2B_15PXS_20260413_0_L2A
Atitlán,2026-04-28,Sentinel-2C,4.96,9.831088,100.0,132309,3.1449227333068848,-0.1137038096785545,0.4000128805637359,S2C_15PXS_20260428_0_L2A
Atitlán,2026-07-22,Sentinel-2B,4.02,4.023169,99.99859111157151,215621,4.0061116218566895,-0.0883754640817642,0.5242555141448975,S2B_15PXS_20260722_0_L2A
