lago,fecha,observaciones,alta,cianobacteria_promedio,cianobacteria_mediana,baja,alta_pct
Amatitlán,2025-01-28,26707,13841,14.009169,12.265748,12866,51.825364136743175
Amatitlán,2025-04-15,9970,3308,10.713549,4.876688,6662,33.17953861584754
Amatitlán,2025-04-28,22053,6717,13.388404,4.8882413,15336,30.458441028431505
Amatitlán,2025-11-24,29435,7143,12.995193,6.76069,22292,24.26702904705283
Amatitlán,2026-01-08,30771,22399,23.107792,16.08279,8372,72.79256442754541
Amatitlán,2026-02-02,2441,0,6.5086794,6.5118713,2441,0.0
Amatitlán,2026-02-07,7746,505,7.5741735,6.991453,7241,6.519493932352182
Amatitlán,2026-03-29,21532,10491,17.425451,11.755886,11041,48.722831135054804
Amatitlán,2026-04-13,33893,22727,16.515114,14.160781,11166,67.05514413005635
Amatitlán,2026-04-28,32697,16675,25.018875,13.252561,16022,50.9985625592562
Amatitlán,2026-06-19,30172,29706,68.09217,67.3064,466,98.45552167572583
Atitlán,2025-01-18,133406,16616,9.929375,4.071,116790,12.455211909509318
Atitlán,2025-05-13,158034,11,3.6151547,3.8320959,158023,0.006960527481428047
Atitlán,2025-07-17,15453,130,4.503419,4.5621867,15323,0.8412605966479001
Atitlán,2025-11-21,181153,2766,4.414931,4.427838,178387,1.5268861128438391
Atitlán,2025-12-29,187040,342,3.4409509,3.6789002,186698,0.18284858853721128
Atitlán,2026-02-12,203767,930,3.9715114,4.071,202837,0.4564036374879151
Atitlán,2026-03-24,287845,3,3.6747277,3.9459834,287842,0.001042227587764248
Atitlán,2026-04-13,39680,12,3.5046895,3.845273,39668,0.03024193548387097
Atitlán,2026-04-28,120087,0,3.1388772,3.3575118,120087,0.0
Atitlán,2026-07-22,207304,428,3.996979,4.2142544,206876,0.20646007795315094
