,count,mean,std,min,25%,50%,75%,90%,95%,99%,max
B02,1781186.0,0.02309822477400303,0.010631978511810303,0.004399999976158142,0.014800000004470348,0.023800000548362732,0.02800000086426735,0.031300000846385956,0.0421999990940094,0.06599999964237213,0.1949000060558319
B03,1781186.0,0.020909493789076805,0.017563864588737488,0.00139999995008111,0.01140000019222498,0.01759999990463257,0.02160000056028366,0.027899999171495438,0.06710000336170197,0.09730000048875809,0.17649999260902405
B04,1781186.0,0.009161869063973427,0.010835849680006504,9.999999747378752e-05,0.0027000000700354576,0.007499999832361937,0.009999999776482582,0.015300000086426735,0.03750000149011612,0.05460000038146973,0.11020000278949738
B05,1781186.0,0.01244829036295414,0.020471038296818733,9.999999747378752e-05,0.00279999990016222,0.007300000172108412,0.010200000368058681,0.02319999970495701,0.0649000033736229,0.10109999775886536,0.2531000077724457
B08,1781186.0,0.008439015597105026,0.01248259749263525,9.999999747378752e-05,0.003000000026077032,0.00559999980032444,0.008200000040233135,0.012400000356137753,0.035100001841783524,0.061500001698732376,0.5210000276565552
B11,1781186.0,0.005145588424056768,0.006141158752143383,9.999999747378752e-05,0.0020000000949949026,0.0034000000450760126,0.006000000052154064,0.009499999694526196,0.018200000748038292,0.03220000118017197,0.08049999922513962
B12,1781186.0,0.004487302619963884,0.005340836942195892,9.999999747378752e-05,0.0019000000320374966,0.003100000089034438,0.004800000227987766,0.008100000210106373,0.014600000344216824,0.02979999966919422,0.07519999891519547
ndvi,1781186.0,-0.025122780352830887,0.20589132606983185,-0.9878787994384766,-0.10370370745658875,-0.0468749925494194,0.02702704444527626,0.1538461595773697,0.29895930737257004,0.7894736528396606,0.9545455574989319
ndwi,1781186.0,0.525779664516449,0.17460201680660248,-0.7121261954307556,0.4183976352214813,0.49593499302864075,0.6136363744735718,0.7499999403953552,0.892307698726654,0.9746835827827454,0.9959999322891235
cianobacteria_mg_m3,1781186.0,6.946119785308838,13.60996150970459,0.00034999847412109375,3.453889846801758,4.071000099182129,4.668515205383301,9.836322784423828,21.41470718383789,76.13452758789047,445.4767150878906
