lago,fecha,satelite,estado,observaciones,alta_cianobacteria,alta_pct
Amatitlán,2025-01-28,Sentinel-2B,procesado,26707,13841,51.825364136743175
Amatitlán,2025-04-15,Sentinel-2A,procesado,9970,3308,33.17953861584754
Amatitlán,2025-04-28,Sentinel-2B,procesado,22053,6717,30.458441028431505
Amatitlán,2025-11-24,Sentinel-2B,procesado,29435,7143,24.26702904705283
Amatitlán,2026-01-08,Sentinel-2C,procesado,30771,22399,72.79256442754541
Amatitlán,2026-02-02,Sentinel-2B,procesado,2441,0,0.0
Amatitlán,2026-02-07,Sentinel-2C,procesado,7746,505,6.519493932352182
Amatitlán,2026-03-29,Sentinel-2C,procesado,21532,10491,48.722831135054804
Amatitlán,2026-04-13,Sentinel-2B,procesado,33893,22727,67.05514413005635
Amatitlán,2026-04-28,Sentinel-2C,procesado,32697,16675,50.9985625592562
Amatitlán,2026-06-19,Sentinel-2A,procesado,30172,29706,98.45552167572583
Atitlán,2025-01-18,Sentinel-2B,procesado,133406,16616,12.455211909509318
Atitlán,2025-04-13,Sentinel-2C,sin escena,0,0,
Atitlán,2025-05-13,Sentinel-2C,procesado,158034,11,0.006960527481428047
Atitlán,2025-07-17,Sentinel-2A,procesado,15453,130,0.8412605966479001
Atitlán,2025-11-21,Sentinel-2A,procesado,181153,2766,1.5268861128438391
Atitlán,2025-12-29,Sentinel-2C,procesado,187040,342,0.18284858853721128
Atitlán,2026-02-12,Sentinel-2B,procesado,203767,930,0.4564036374879151
Atitlán,2026-03-24,Sentinel-2B,procesado,287845,3,0.001042227587764248
Atitlán,2026-04-13,Sentinel-2B,procesado,39680,12,0.03024193548387097
Atitlán,2026-04-28,Sentinel-2C,procesado,120087,0,0.0
Atitlán,2026-07-22,Sentinel-2B,procesado,207304,428,0.20646007795315094
