variable,tipo,faltantes_pct,valores_unicos
lago,str,0.0,2
fecha,datetime64[us],0.0,19
satelite,str,0.0,3
fila,int32,0.0,753
columna,int32,0.0,992
x_utm,float32,0.0,1368
y_utm,float32,0.0,1138
longitud,float32,0.0,29526
latitud,float32,0.0,136084
anio,int16,0.0,2
mes,int8,0.0,9
dia_ano_sen,float32,0.0,18
dia_ano_cos,float32,0.0,18
B02,float32,0.0,955
B03,float32,0.0,1187
B04,float32,0.0,924
B05,float32,0.0,1634
B08,float32,0.0,1997
B11,float32,0.0,688
B12,float32,0.0,625
ndvi,float32,0.0,89911
ndwi,float32,0.0,109903
ndci,float32,0.0,104742
cianobacteria_mg_m3,float32,0.0,102259
alta_cianobacteria,int8,0.0,2
